"","upwind_dist_km","site_Dd18O","site_DW","site_DP","dist_inland_km","M_factorChange","site_region"
"1491",5314.28349579804,-1.30432735931008,-4.36361638338226,4.40349134203341e-06,3000,1.46341463414634,"inland"
"1492",2414.28349579804,-0.485345308267493,-2.32034187493105,6.80814281970079e-06,100,1.32352941176471,"coast"
"1493",3814.28349579804,-0.741856313906553,-2.82432660874887,4.87344371085118e-06,1500,1.32352941176471,"middle"
"1494",5314.28349579804,-0.935825374068111,-3.16198121143287,3.57891656955037e-06,3000,1.32352941176471,"inland"
"1495",2414.28349579804,-0.317015952324917,-1.53373786202486,4.6546363235358e-06,100,1.20805369127517,"coast"
"1496",3814.28349579804,-0.483290821097104,-1.85934318164882,3.47149514391796e-06,1500,1.20805369127517,"middle"
"1497",5314.28349579804,-0.612197439175843,-2.08744065181857,2.64164852180684e-06,3000,1.20805369127517,"inland"
"1498",2414.28349579804,-0.171464498779028,-0.838467865847896,2.62080779118673e-06,100,1.11111111111111,"coast"
"1499",3814.28349579804,-0.259174001929097,-1.00836018514565,2.03272609225544e-06,1500,1.11111111111111,"middle"
"1500",5314.28349579804,-0.329067739184397,-1.13291162110753,1.60038777752716e-06,3000,1.11111111111111,"inland"
"1501",2570.09429859906,-3.24330273108697,-13.272666197471,2.00364591134128e-05,100,4,"coast"
"1502",3970.09429859906,-4.43494721936188,-14.7360317757588,9.42447868716353e-06,1500,4,"middle"
"1503",5470.09429859906,-5.13801337373143,-15.3613545045465,4.8202950895974e-06,3000,4,"inland"
"1504",2570.09429859906,-2.52989350241728,-10.7435393320881,1.93000333265345e-05,100,3.10344827586207,"coast"
"1505",3970.09429859906,-3.55092787683431,-12.218474279665,9.97958824643139e-06,1500,3.10344827586207,"middle"
"1506",5470.09429859906,-4.19334998279264,-12.9228801222774,5.54550356028083e-06,3000,3.10344827586207,"inland"
"1507",2570.09429859906,-1.9843645499279,-8.6927519951793,1.76550870175226e-05,100,2.53521126760563,"coast"
"1508",3970.09429859906,-2.84333428305628,-10.0772517731432,9.83809638917708e-06,1500,2.53521126760563,"middle"
"1509",5470.09429859906,-3.40994801835237,-10.7951856789686,5.82487081574755e-06,3000,2.53521126760563,"inland"
"1510",2570.09429859906,-1.55616808002301,-6.99554673999705,1.55756153539578e-05,100,2.14285714285714,"coast"
"1511",3970.09429859906,-2.26715066195837,-8.23155453918297,9.23835899876609e-06,1500,2.14285714285714,"middle"
"1512",5470.09429859906,-2.75350052239465,-8.91580469471285,5.76724433370519e-06,3000,2.14285714285714,"inland"
"1513",2570.09429859906,-1.2119595463147,-5.56745896879438,1.33182769093252e-05,100,1.85567010309278,"coast"
"1514",3970.09429859906,-1.78918621462787,-6.62425756797988,8.33950149081363e-06,1500,1.85567010309278,"middle"
"1515",5470.09429859906,-2.19580955622933,-7.24233677776185,5.45333957703572e-06,3000,1.85567010309278,"inland"
"1516",2570.09429859906,-0.929557385708879,-4.34912520622708,1.10236240727675e-05,100,1.63636363636364,"coast"
"1517",3970.09429859906,-1.38601882183575,-5.21357313042538,7.24674599523417e-06,1500,1.63636363636364,"middle"
